状态	租户	场地	库建筑面积	册面面积	差额(=拟补area_shared)	该场地月租金(库)	主租金单价	单价×册面面积	备注:纸面租金按哪个面积计
AUTO	可莱恩	A座602室	1528.00	1986	458.00	33948.20	19.25	38230.50	库=1528×19.25+458×9.9(公摊458按空地价另计租);若纸面按1986×19.25应=38230.50——现行口径租金不变,仅分摊面积变1986
AUTO	可莱恩	B座201室	2700.00	4050	1350.00	58425.00	16.64	67392.00	库=44925(纸约月租)+1350×10;若按4050×16.64应=67392——现行口径租金不变,仅分摊面积变4050
AUTO	鑫皇	A座502室	1640.00	2460	820.00	42394.00	20.35	50061.00	库=1640×20.35+820×11;册面2460=1640+820 逐分吻合
AUTO	雷莱	B座301室	2700.00	3375	675.00	58050.00	19.00	64125.00	库=2700×19+675×10;册面3375=2700+675 吻合
AUTO	思汗	F座首层101室	2700.00	3510	810.00	69093.00	22.32	78343.20	库=2700×22.32+810×10.9;册面3510=2700+810 吻合
AUTO	次生代	A座616、618室	526.50	789.8	263.30	12373.25	18.50	14611.30	库=526.5×18.5+263.3×10;册面789.8=526.5+263.3 吻合
AUTO	一元兰欣	D座403室	1445.00	2167.5	722.50	42555.25	24.00	52020.00	库=1445×24+722.5×10.9;册面写D座四楼402室/库写403室,面积链1445+722.5=2167.5 精确吻合,房号差异待用户顺手确认
待拍板	旭化成	A座201、202室	638.90	818.6	179.70	13255.90	13.30	10887.38	库3行(476.9+64+98);差179.7 无对应rent_land行,模式不明
作废·误报	炳记	A座432/433/434室	251.43	251.43	0	5028.60	20.00	5028.60	⚠原行误报(2026-08-05核):名称包含匹配把独立档案「炳记运输」(C2024M-005,71.57㎡)掺进炳记,又因S10-0110缺起止日期被在租判定排除,凑出不存在的227.57。炳记本尊=S10-0110三间95.43+71.57+84.43=251.43,与册面全等,无差额无需补录;真问题=S10-0110缺签约/起止日期(157户日期债清单内),补日期后租金即可派生。炳记运输若在分摊表另有行须单独核,勿再合并匹配
待拍板	戎合	A座501室	242.18	1483	1240.82	4843.60+空地143×?	20.00	29660.00	库仅『A座501室展厅』242.18+天面空地143;册面1483 疑含孵化协议整层口径,差异过大不自动补
待拍板	碧沃丰	B座401室	3200.00	4550	1350.00	50639.70	15.00	68250.00	rent_land 仅293.3≠差额1350,模式与可莱恩类不符
待拍板	飞度	D座401室	627.50	1882.5	1255.00	31475.40	50.16	94426.20	库三版合同均627.5;册面按整层1882.5分摊,疑合同面积=部分场地
待拍板	金纳	D座301室	3200.00	2354	-846.00	—	—	—	反向差:库(一期D座三楼整层3200)＞册2354,面积口径待查,不补
待拍板	翔海	E座301/401东西侧	4708.00	9416(4×2354)	4708.00	—	—	—	册面四行全=2354疑误拷(G座一层同值);库E座3-4层=4708;G座册9416=库9416 已对上
待人工	精锐佳	A座429室	0	212.68	—	—	—	—	库内无该场地租金计费行,须先补计费行再谈公摊
待人工	帷幄	A座436室	0	101.84	—	—	—	—	同上(册面另有孵化固定收取31元)
待人工	黄路生	A座420室	0	330.28	—	—	—	—	租户档案在(id392),无计费行
待人工	周应佳	A座428、435室	0	158.66	—	—	—	—	库内无租户/计费行
待人工	张勇	C座202室	0	91.43	—	—	—	—	库内无租金计费行
待人工	谷薇生物	C座217、218、219室	0	462.87	—	—	—	—	档案『陈相钊(谷薇)』在,无计费行
待人工	吴跃平	C座221室	0	245.72	—	—	—	—	吴跃平(id335)无C221计费行(A座203、216在另档宏玥链)
待人工	宇劲	D座101室	0	1950	—	—	—	—	档案『邱彩云/宇劲』无计费行
待人工	张执盛	F座401室	0	3200	—	—	—	—	租户档案在(id390),无计费行
待人工	林观平	A座620室	0	95.43	—	—	—	—	S10-0109 仅A303/A445,无A620行
核对无差	成吉	A座203室(册)/A座208室(库)	446.40	446.4	0.00	—	—	—	面积精确同值,房号写法差异(203 vs 208),不补
核对无差	仁恒	A座306室(册)	569.11	569.11	0.00	—	—	—	库=A311、312、313(411.55)+A315(157.56),册面整片写306
核对无差	采妍	A座310室(册)	732.31	732.31	0.00	—	—	—	库=A316、317(578.60)+A318(153.71)
核对无差	汤周杰	D座201室	3108.00	3108	0.00	—	—	—	库『一期D座二楼』;注意S10-0016(缺日期)与S10-0064双档并存
核对无差	碳紫	A座623室(册)	212.68	212.68	0.00	—	—	—	库=A614、A615、A622
核对无差	一期其余36户	各场地	—	—	≤0.5	—	—	—	册面=库面积,合同面积已含公摊(S5 §0#2a 大多数户),不补
说明	二期全部	—	—	—	—	—	—	—	二期公摊按层数(元/层)分摊,册无租赁面积列,不在本批范围
