contract_id	contract_no	lvl	n_lvl	cs	ce	ma	scope	ratio	is_head	is_anchor
11	S10-0011	1	2	2022-12-01	2025-11-30	38950.00	rmi	1.000000	0	1
11	S10-0011	2	2	2025-12-01	2028-11-30	42845.00	rmi	1.100000	1	0
14	S10-0014	1	2	2023-03-03	2026-03-02	24000.00	rmi	1.000000	0	1
14	S10-0014	2	2	2026-03-03	2029-03-02	26400.00	rmi	1.100000	1	0
17	S10-0017	1	2	2023-05-23	2026-05-22	20500.00	rmi	1.000000	0	1
17	S10-0017	2	2	2026-05-23	2028-05-22	22550.00	rmi	1.100000	1	0
24	S10-0024	1	2	2023-09-11	2026-09-10	4117.50	rmi	1.000000	0	1
24	S10-0024	2	2	2026-09-11	2029-09-10	4529.25	rmi	1.100000	1	0
27	S10-0027	1	3	2023-10-15	2026-10-14	15750.00	rmi	1.000000	0	1
27	S10-0027	2	3	2026-10-15	2029-10-14	17325.00	rmi	1.100000	0	0
27	S10-0027	3	3	2029-10-15	2032-10-14	19923.75	rmi	1.265000	1	0
31	S10-0031	1	3	2024-01-01	2026-12-31	95400.00	rmi	1.000000	0	1
31	S10-0031	2	3	2027-01-01	2029-12-31	104940.00	rmi	1.100000	0	0
31	S10-0031	3	3	2030-01-01	2032-12-31	120681.00	rmi	1.265000	1	0
69	S10-0069	1	2	2023-07-01	2026-06-30	12057.50	rmi	1.000000	0	1
69	S10-0069	2	2	2026-07-01	2028-06-30	13263.30	rmi	1.100004	1	0
71	S10-0071	1	2	2023-07-07	2026-07-06	6383.00	rmi	0.909091	0	0
71	S10-0071	2	2	2026-07-07	2029-07-06	7021.30	rmi	1.000000	1	1
72	S10-0072	1	2	2023-07-17	2026-07-16	1265.00	rmi	1.000000	0	1
72	S10-0072	2	2	2026-07-17	2028-07-16	1391.50	rmi	1.100000	1	0
74	S10-0074	1	2	2023-08-10	2024-08-09	4770.00	rmi	1.000000	0	1
74	S10-0074	2	2	2024-08-10	2026-08-09	5570.00	rmi	1.167715	1	0
77	S10-0077	1	3	2023-10-07	2026-10-06	1275.00	rmi	1.000000	0	1
77	S10-0077	2	3	2026-10-07	2029-10-06	1403.00	rmi	1.100392	0	0
77	S10-0077	3	3	2029-10-07	2032-10-06	1613.00	rmi	1.265098	1	0
78	S10-0078	1	2	2023-10-01	2026-09-30	5207.00	rmi	1.000000	0	1
78	S10-0078	2	2	2026-10-01	2028-09-30	5727.70	rmi	1.100000	1	0
80	S10-0080	1	3	2023-10-12	2026-10-11	35200.00	rmi	0.909091	0	0
80	S10-0080	2	3	2026-10-12	2029-10-11	38720.00	rmi	1.000000	0	1
80	S10-0080	3	3	2029-10-12	2032-10-11	44528.00	rmi	1.150000	1	0
82	S10-0082	1	2	2023-11-24	2026-11-23	1479.00	rmi	1.000000	0	1
82	S10-0082	2	2	2026-11-24	2029-11-23	1626.90	rmi	1.100000	1	0
100	S10-0100	1	2	2022-04-25	2025-05-09	5614.80	rmi	1.000000	0	1
100	S10-0100	2	2	2025-05-10	2027-05-09	6176.20	rmi	1.099986	1	0
136	S10-0136	1	2	2022-12-01	2025-11-30	1400.00	rmi	1.000000	0	1
136	S10-0136	2	2	2025-12-01	2028-11-30	1540.00	rmi	1.100000	1	0
138	S10-0138	1	2	2023-09-01	2026-08-31	6076.00	rmi	1.000000	0	1
138	S10-0138	2	2	2026-09-01	2029-08-31	6683.60	rmi	1.100000	1	0
139	S10-0139	1	2	2023-09-01	2026-08-31	3038.00	rmi	1.000000	0	1
139	S10-0139	2	2	2026-09-01	2029-08-31	3341.80	rmi	1.100000	1	0
144	S10-0144	1	2	2023-09-01	2026-08-31	2940.00	rmi	1.000000	0	1
144	S10-0144	2	2	2026-09-01	2029-08-31	3234.00	rmi	1.100000	1	0
146	S10-0146	1	2	2023-04-25	2026-04-24	1274.00	rmi	1.000000	0	1
146	S10-0146	2	2	2026-04-25	2028-04-24	1401.40	rmi	1.100000	1	0
153	S10-0153	1	2	2024-01-01	2026-12-31	9878.40	rmi	1.000000	0	1
153	S10-0153	2	2	2027-01-01	2028-12-31	10866.24	rmi	1.100000	1	0
154	S10-0154	1	2	2023-05-25	2026-05-24	2450.00	rmi	1.000000	0	1
154	S10-0154	2	2	2026-05-25	2029-05-24	2695.00	rmi	1.100000	1	0
156	S10-0156	1	3	2023-10-01	2026-09-30	4557.00	rmi	1.000000	0	1
156	S10-0156	2	3	2026-10-01	2029-09-30	5012.70	rmi	1.100000	0	0
156	S10-0156	3	3	2029-10-01	2032-09-30	5764.61	rmi	1.265001	1	0
157	S10-0157	1	3	2023-10-01	2026-09-30	4557.00	rmi	1.000000	0	1
157	S10-0157	2	3	2026-10-01	2029-09-30	5012.70	rmi	1.100000	0	0
157	S10-0157	3	3	2029-10-01	2032-09-30	5764.61	rmi	1.265001	1	0
