id	zone	name	tenant_name	tenant_id	building_id
195	p1	旭化成1东公	公共用电/旭化成 停用	NULL	13
247	p1	戎合A501公共	公共用电/戎合	262	13
250	p1	鑫皇公共	公共用电/鑫皇	113	13
261	p1	可莱恩A602公共电	公共用电/可莱恩 停用	107	13
270	p1	张彦公共电	公共用电/张彦	129	20
273	p1	可莱恩B201东侧公共电	公共用电/可莱恩	107	20
274	p1	可莱恩B201西侧公共电	公共用电/可莱恩	107	20
276	p1	欧培仪东侧公共	公共用电/雷莱	114	20
277	p1	欧培仪西侧公共	公共用电/雷莱	114	20
279	p1	碧沃丰B401东侧公共电	公共用电/碧沃丰	103	20
280	p1	碧沃丰B401西侧公共电	公共用电/碧沃丰	103	20
316	p1	可莱恩C402西侧公共电	公共用电/可莱恩	107	21
329	p1	D201东侧电	公共用电/汤周杰	131	22
330	p1	D201西侧电	公共用电/汤周杰	131	22
332	p1	金纳D301东侧公共电	公共用电/金纳	99	22
333	p1	金纳D301西侧公共电	公共用电/金纳	99	22
335	p1	飞度东侧公共电	公共用电/飞度	357	22
337	p1	一元兰欣西侧公共电	公共用电/一元兰欣	112	22
353	p1	天玛E201西侧公共电	公共用电/天玛	128	23
357	p1	翔海E301东侧公共电	公共用电/翔海	265	23
358	p1	翔海E301西侧公共电	公共用电/翔海	265	23
360	p1	翔海E401东侧公共电	公共用电/翔海	265	23
361	p1	翔海E401西侧公共电	公共用电/翔海	265	23
370	p1	思汗F101东侧公共电	公共用电/思汗	102	24
372	p1	优凯F201东侧公共电	公共用电/桑尼号	152	24
373	p1	优凯F201西侧公共电	公共用电/桑尼号	152	24
375	p1	优凯F301东侧公共电	公共用电/桑尼号	152	24
