# 2024-02 一期园区电 缺读数表清单（spec §J5 只读回归核对产出，2026-08-01）
# 口径：kind='elec' AND zone='p1' AND 不存在 meter_reading(ym='2024-02') 的全部表档案，共 30 块。
# 原册事实源：一期2024年2月水电费.xlsx / sheet「一期园区电」（openpyxl 直读，非转述）。
# 归类：J1可解 = 同 addrKey 多候选、导入行企业名称与档案 tenant_name 精确相等且在候选内唯一 → §J1 收窄层可命中
#       原册无此行 = 该表在原册 2024-02 全簿零出现，不是缺陷
#       其他 = 原册有行但 §J1 收窄层仍落空（原因见 note 列）
# book_qty = 原册 S 列「本月用电量」；对楼栋分表Σ 的实际缺口只由 book_qty>0 的行构成。
id	name	tenant_name	area	spot	sub_name	code	ownership	building_id	building	class	book_qty	evidence	note
281	B东侧楼梯间	东侧楼梯间消防照明	B座	天面	电表①		share	20	一期 B座	J1可解	12.20	原册 r108；同键候选 281/282/283	三块同 elec|p1|B座|天面|电表①、全部无码、tenant_name 互异；原册 D 列=东侧楼梯间消防照明 精确相等
282	B西侧楼梯间	西侧楼梯间消防照明	B座	天面	电表①		share	20	一期 B座	J1可解	284.60	原册 r109；同键候选 281/282/283	同上，原册 D 列=西侧楼梯间消防照明
283	B东侧货梯	东侧货梯	B座	天面	电表①		share	20	一期 B座	J1可解	152.70	原册 r110；同键候选 281/282/283	同上，原册 D 列=东侧货梯
317	C东侧楼梯间	东侧楼梯间消防照明	C座	天面	电表①		share	21	一期 C座	J1可解	10.00	原册 r141；同键候选 317/318/319	319(C东侧货梯电表1) 有码走 L1，不与本行争；tenant_name 三者互异
318	C西侧楼梯间	西侧楼梯间消防照明	C座	天面	电表①		share	21	一期 C座	J1可解	25.00	原册 r142；同键候选 317/318/319	同上
338	D东侧楼梯间	东侧楼梯间消防照明	D座	天面	电表①		share	22	一期 D座	J1可解	14.80	原册 r164；同键候选 338/339/340	三块同键、全部无码、tenant_name 互异
339	D西侧楼梯间	西侧楼梯间消防照明	D座	天面	电表①		share	22	一期 D座	J1可解	11.20	原册 r165；同键候选 338/339/340	同上
340	D东侧货梯	东侧货梯	D座	天面	电表①		share	22	一期 D座	J1可解	363.10	原册 r166；同键候选 338/339/340	同上
362	E东侧楼梯间	东侧楼梯间消防照明	E座	天面	电表①		share	23	一期 E座	J1可解	11.20	原册 r188；同键候选 362/363/364	三块同键、全部无码、tenant_name 互异
363	E西侧楼梯间	西侧楼梯间消防照明	E座	天面	电表①		share	23	一期 E座	J1可解	13.40	原册 r189；同键候选 362/363/364	同上
364	E东侧货梯	东侧货梯	E座	天面	电表①		share	23	一期 E座	J1可解	135.00	原册 r190；同键候选 362/363/364	同上
380	F东侧楼梯间	东侧楼梯间消防照明	F座	天面	电表①		share	24	一期 F座	J1可解	13.20	原册 r208；同键候选 380/381/382	三块同键、全部无码、tenant_name 互异
381	F西侧楼梯间	西侧楼梯间消防照明	F座	天面	电表①		share	24	一期 F座	J1可解	6.33	原册 r209；同键候选 380/381/382	同上
382	F东侧货梯	东侧货梯	F座	天面	电表①		share	24	一期 F座	J1可解	169.10	原册 r210；同键候选 380/381/382	同上
310	力美C301东侧公共电	公共用电	C座	三楼东侧	电表①		share	21	一期 C座	J1可解	0	原册 r134（D='公共用电'）；同键候选 309/310	309(陈相钊电,tenant_name='陈相钊',有码) 与本行同键；按企业名称收窄唯一命中 310。用电量 0，不影响 C座Σ
351	E二楼东侧公共电	公共用电/张文意	E座	二楼东侧	电表①		share	23	一期 E座	J1可解	0	原册 r179（D='公共用电/张文意'）；同键候选 349/350/351	349(tenant_name NULL)/350(张文意) 均有码；按企业名称收窄唯一命中 351。用电量 0，不影响 E座Σ
300	许振虎电	许振虎	C座	二楼212室	电表①	221103010175	tenant	21	一期 C座	原册无此行	0	全簿关键词「许振虎」命中 0 处	2024-02 一期册（106 sheet）无此租户任何行，非本刀缺陷。注：本块有编码，spec §0.4 把它归进「疑似同类」有误
301	许振虎临电	许振虎临电	C座	二楼212室	电表①		tenant	21	一期 C座	原册无此行	0	全簿关键词「许振虎」命中 0 处	同上；与 300 同键但原册两行都不存在，无从消歧也无需消歧
302	钟覃电	钟覃	C座	二楼213室	电表①	221103010199	tenant	21	一期 C座	原册无此行	0	全簿关键词「钟覃」命中 0 处	同键只有它自己，即便原册有行也不会歧义
303	陈世邦电	陈世邦	C座	二楼214-216室	电表①	221103010157	tenant	21	一期 C座	原册无此行	0	全簿关键词「陈世邦」命中 0 处	同上
355	王培培电表2	王培培（62.5KVA）	E座	三楼301室 62.5KVA	电表②	230828010004	tenant	23	一期 E座	原册无此行	0	全簿关键词「王培培」命中 0 处	同上
356	王培培电表1	王培培（187.5KVA）	E座	三楼302室 187.5KVA	电表①	230828010046	tenant	23	一期 E座	原册无此行	0	全簿关键词「王培培」命中 0 处	同上
