池ID	旧名	新楼栋	新楼层	新侧向	新费项	新池名	依据(绑定表spot原文)	置信度	含租户名	备注	受益人置信度	受益人依据	受益人
2	一车间消防	二期 一车间			消防	二期 一车间·消防	一车间消防	高			中	该车间在租租户自动带出(合同 building_id=30,15 户;与账册已分摊列行数核对一致)	15户
3	一车间电梯+低压电房照明	二期 一车间			电梯+低压电房照明	二期 一车间·电梯+低压电房照明	一车间电梯	高			中	该车间在租租户自动带出(合同 building_id=30,15 户;与账册已分摊列行数核对一致)	15户
4	一车间消防水稳压泵	二期园区(楼栋置空)			消防水稳压泵	二期园区·消防水稳压泵	园区消防水稳压泵	高		园区级池但 rule.building_id=30(二期 一车间)已置空		园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
5	二车间消防	二期 二车间			消防	二期 二车间·消防	二车间消防	高			中	该车间在租租户自动带出(合同 building_id=31,5 户;与账册已分摊列行数核对一致)	5户
6	二车间电梯+低压电房照明	二期 二车间			电梯+低压电房照明	二期 二车间·电梯+低压电房照明	二车间电梯	高			中	该车间在租租户自动带出(合同 building_id=31,5 户;与账册已分摊列行数核对一致)	5户
7	三车间消防	二期 三车间			消防	二期 三车间·消防	三车间消防	高			中	该车间在租租户自动带出(合同 building_id=32,9 户;与账册已分摊列行数核对一致)	9户
8	三车间电梯+低压电房照明	二期 三车间			电梯+低压电房照明	二期 三车间·电梯+低压电房照明	三车间电梯	高			高	账册三车间电梯 S40『三车间企业(嘉荣、艾派斯)』T40=4层仅两户承担	2户
9	园区消防设施	二期园区(楼栋置空)			消防设施	二期园区·消防设施	园区生活水泵、消防控制室	高				园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
10	四车间消防	二期 四车间			消防	二期 四车间·消防	四车间消防	高			中	该车间在租租户自动带出(合同 building_id=33,6 户;与账册已分摊列行数核对一致)	6户
11	四车间电梯+低压电房照明	二期 四车间			电梯+低压电房照明	二期 四车间·电梯+低压电房照明	四车间电梯	高			中	该车间在租租户自动带出(合同 building_id=33,6 户;与账册已分摊列行数核对一致)	6户
12	广联分摊	二期 四车间			电梯加价档	二期 四车间·电梯加价档	四车间电梯	中	广联	广联/氙明/威玛斯按全层价+100元的标准行(旧名含租户名);费项名待人工确认	高	账册V64 三户引全层价+100元	3户
13	四车间绿化水泵	二期园区(楼栋置空)			绿化水泵	二期园区·绿化水泵	园区绿化水泵	高		园区级池但 rule.building_id=33(二期 四车间)已置空		园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
14	五车间消防	二期 五车间			消防	二期 五车间·消防	五车间消防;消防分表	高			中	该车间在租租户自动带出(合同 building_id=34,10 户;与账册已分摊列行数核对一致);账册归属切割:-方凯鑫	9户
