ym	zone	head_building_id	c_qty	cable_qty	d_qty	e_qty	raw_rate	g_qty	adj_qty	adj_rate	variant	tenant_rate
2023-10	p1	13	66945.00	NULL	83094.94	16149.94	0.241200	281.50	0.00	NULL	net	-0.237000
2023-10	p1	41	1704.00	NULL	670.21	-1033.79	-0.606700	281.50	0.00	NULL	net	0.771900
2024-02	p1	13	38550.00	NULL	34876.50	-3673.50	-0.095300	-1413.20	0.00	0.003000	net	0.061600
2024-02	p1	20	5318.40	NULL	5399.07	80.67	0.015200	86.80	0.00	0.005000	share_only	0.021300
2024-02	p1	21	9652.80	NULL	9960.18	307.38	0.031800	86.80	0.00	0.010000	share_only	0.019000
2024-02	p1	22	13771.20	NULL	13728.80	-42.40	-0.003100	86.80	0.00	0.010000	net	0.019400
2024-02	p1	23	12801.60	NULL	12662.10	-139.50	-0.010900	86.80	0.00	0.005000	net	0.022700
2024-02	p1	24	21091.20	NULL	21146.90	55.70	0.002600	86.80	0.00	0.018000	net	0.019500
2024-02	p1	25	419.20	NULL	247.20	-172.00	-0.410300	86.80	0.00	NULL	none	NULL
2024-02	p2	30	13750.00	NULL	13704.70	-45.30	-0.003300	NULL	300.00	0.002000	net	0.027100
2024-02	p2	32	85670.00	32797.20	81158.44	-4511.56	-0.052700	NULL	-2500.00	0.002000	net	0.025500
2024-02	p2	34	36685.00	0.00	36704.95	19.95	0.000500	NULL	1000.00	0.002000	net	0.028700
2024-02	p2	35	18320.00	NULL	17958.10	-361.90	-0.019800	NULL	300.00	0.002000	net	0.038100
